,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'20-39'}),frozenset({'Male'}),0.3723076923076923,0.68,0.25384615384615383,0.6818181818181819,1.0026737967914439,1.0,0.000676923076923075,1.0057142857142858,0.004248366013071883,0.3179190751445086,0.005681818181818219,0.5275606746194982
1,frozenset({'Male'}),frozenset({'20-39'}),0.68,0.3723076923076923,0.25384615384615383,0.37330316742081443,1.0026737967914439,1.0,0.000676923076923075,1.0015884476534298,0.00833333333333331,0.3179190751445086,0.0015859284890426346,0.5275606746194982
2,frozenset({'NoDisco'}),frozenset({'20-39'}),0.57,0.3723076923076923,0.20923076923076922,0.36707152496626183,0.9859359141655794,1.0,-0.0029846153846153634,0.9917270788912581,-0.03210857332009246,0.28541448058761804,-0.008341933264533809,0.464527498020321
3,frozenset({'20-39'}),frozenset({'NoDisco'}),0.3723076923076923,0.57,0.20923076923076922,0.5619834710743802,0.9859359141655794,1.0,-0.0029846153846153634,0.9816981132075473,-0.02222065587058787,0.28541448058761804,-0.018643090524697137,0.464527498020321
4,frozenset({'20-39'}),frozenset({'NoPromo'}),0.3723076923076923,0.57,0.20923076923076922,0.5619834710743802,0.9859359141655794,1.0,-0.0029846153846153634,0.9816981132075473,-0.02222065587058787,0.28541448058761804,-0.018643090524697137,0.464527498020321
5,frozenset({'NoPromo'}),frozenset({'20-39'}),0.57,0.3723076923076923,0.20923076923076922,0.36707152496626183,0.9859359141655794,1.0,-0.0029846153846153634,0.9917270788912581,-0.03210857332009246,0.28541448058761804,-0.008341933264533809,0.464527498020321
6,frozenset({'NoSubscr'}),frozenset({'20-39'}),0.73,0.3723076923076923,0.2725641025641026,0.3733754829645241,1.0028680327559532,1.0,0.000779487179487226,1.0017040358744398,0.010591965436744996,0.32849196538936964,0.0017011370758350135,0.552734573438185
7,frozenset({'20-39'}),frozenset({'NoSubscr'}),0.3723076923076923,0.73,0.2725641025641026,0.7320936639118458,1.0028680327559532,1.0,0.000779487179487226,1.0078149100257074,0.00455610277977634,0.32849196538936964,0.0077543107846142385,0.552734573438185
8,frozenset({'Male'}),frozenset({'3-4'}),0.68,0.4076923076923077,0.27564102564102566,0.40535444947209653,0.9942656307806141,1.0,-0.0015897435897435641,0.9960684844641725,-0.017704169046259,0.33943795389958953,-0.00394703335879805,0.5407275392014571
9,frozenset({'3-4'}),frozenset({'Male'}),0.4076923076923077,0.68,0.27564102564102566,0.6761006289308177,0.9942656307806141,1.0,-0.0015897435897435641,0.9879611650485438,-0.009643339993539045,0.33943795389958953,-0.012185534591194898,0.5407275392014571
10,frozenset({'NoDisco'}),frozenset({'3-4'}),0.57,0.4076923076923077,0.23384615384615384,0.4102564102564103,1.0062893081761008,1.0,0.0014615384615384863,1.0043478260869567,0.014534883720930479,0.3143743536711479,0.004329004329004407,0.4919206579583938
11,frozenset({'3-4'}),frozenset({'NoDisco'}),0.4076923076923077,0.57,0.23384615384615384,0.5735849056603773,1.0062893081761006,1.0,0.0014615384615384863,1.0084070796460178,0.010551948051948232,0.3143743536711479,0.008336989907854397,0.4919206579583938
12,frozenset({'3-4'}),frozenset({'NoPromo'}),0.4076923076923077,0.57,0.23384615384615384,0.5735849056603773,1.0062893081761006,1.0,0.0014615384615384863,1.0084070796460178,0.010551948051948232,0.3143743536711479,0.008336989907854397,0.4919206579583938
13,frozenset({'NoPromo'}),frozenset({'3-4'}),0.57,0.4076923076923077,0.23384615384615384,0.4102564102564103,1.0062893081761008,1.0,0.0014615384615384863,1.0043478260869567,0.014534883720930479,0.3143743536711479,0.004329004329004407,0.4919206579583938
14,frozenset({'NoSubscr'}),frozenset({'3-4'}),0.73,0.4076923076923077,0.2982051282051282,0.40850017562346325,1.0019815628500042,1.0,0.0005897435897435632,1.0013657957244655,0.007324607496576213,0.35522296884544896,0.0013639328707821129,0.5699733582519831
15,frozenset({'3-4'}),frozenset({'NoSubscr'}),0.4076923076923077,0.73,0.2982051282051282,0.7314465408805031,1.0019815628500042,1.0,0.0005897435897435632,1.0053864168618265,0.0033388795211665595,0.35522296884544896,0.005357558816678189,0.5699733582519831
16,frozenset({'4+'}),frozenset({'Male'}),0.3751282051282051,0.68,0.25743589743589745,0.686261107313739,1.0092075107554985,1.0,0.0023487179487179377,1.0199564270152508,0.014600604557559597,0.3227258116361299,0.019565960355434276,0.5324216547126764
17,frozenset({'Male'}),frozenset({'4+'}),0.68,0.3751282051282051,0.25743589743589745,0.37858220211161386,1.0092075107554983,1.0,0.0023487179487179377,1.0055582524271844,0.028510956175298672,0.3227258116361299,0.00552752902556182,0.5324216547126764
18,frozenset({'NoDisco'}),frozenset({'4+'}),0.57,0.3751282051282051,0.21487179487179486,0.3769680611785875,1.0049046060126394,1.0,0.0010487179487179699,1.0029530685920578,0.011350391297108514,0.2942415730337079,0.002944373654694844,0.47488184330289596
19,frozenset({'4+'}),frozenset({'NoDisco'}),0.3751282051282051,0.57,0.21487179487179486,0.5727956254272044,1.0049046060126394,1.0,0.0010487179487179699,1.006544,0.007810671401416078,0.2942415730337079,0.006501454481870842,0.47488184330289596
20,frozenset({'4+'}),frozenset({'NoPromo'}),0.3751282051282051,0.57,0.21487179487179486,0.5727956254272044,1.0049046060126394,1.0,0.0010487179487179699,1.006544,0.007810671401416078,0.2942415730337079,0.006501454481870842,0.47488184330289596
