,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,frozenset({'20-39'}),frozenset({'Male'}),0.3497536945812808,0.687192118226601,0.24876847290640394,0.7112676056338028,1.0350345802413043,1.0,0.008420490669513947,1.0833833954103085,0.05205520552055209,0.31562500000000004,0.07696573139625136,0.536637387046292
1,frozenset({'Male'}),frozenset({'20-39'}),0.687192118226601,0.3497536945812808,0.24876847290640394,0.3620071684587814,1.0350345802413046,1.0,0.008420490669513947,1.0192062877068688,0.10820924612146261,0.31562500000000004,0.018844357554034994,0.536637387046292
2,frozenset({'20-39'}),frozenset({'NoSubscr'}),0.3497536945812808,0.7216748768472906,0.2438423645320197,0.6971830985915493,0.9660625871268567,1.0,-0.008566089931810988,0.919120174132203,-0.05125598954552041,0.29464285714285715,-0.08799700860027417,0.517533528817959
3,frozenset({'Male'}),frozenset({'3-4'}),0.687192118226601,0.39408866995073893,0.2684729064039409,0.3906810035842294,0.9913530465949821,1.0,-0.002341721468611224,0.9944074181396697,-0.02712769695691895,0.3303030303030303,-0.005624034734970997,0.5359655017921148
4,frozenset({'3-4'}),frozenset({'Male'}),0.39408866995073893,0.687192118226601,0.2684729064039409,0.68125,0.9913530465949821,1.0,-0.002341721468611224,0.9813580604655656,-0.014191176470588226,0.3303030303030303,-0.018996062992125893,0.5359655017921148
5,frozenset({'NoDisco'}),frozenset({'3-4'}),0.5591133004926109,0.39408866995073893,0.20689655172413793,0.3700440528634361,0.9389867841409691,1.0,-0.013443665218762918,0.9618312721760998,-0.1284488754926967,0.2772277227722772,-0.03968339242863799,0.44752202643171807
6,frozenset({'3-4'}),frozenset({'NoDisco'}),0.39408866995073893,0.5591133004926109,0.20689655172413793,0.525,0.9389867841409691,1.0,-0.013443665218762918,0.928182525278714,-0.09685314685314701,0.2772277227722772,-0.0773743016759777,0.44752202643171807
7,frozenset({'3-4'}),frozenset({'NoPromo'}),0.39408866995073893,0.5591133004926109,0.20689655172413793,0.525,0.9389867841409691,1.0,-0.013443665218762918,0.928182525278714,-0.09685314685314701,0.2772277227722772,-0.0773743016759777,0.44752202643171807
8,frozenset({'NoPromo'}),frozenset({'3-4'}),0.5591133004926109,0.39408866995073893,0.20689655172413793,0.3700440528634361,0.9389867841409691,1.0,-0.013443665218762918,0.9618312721760998,-0.1284488754926967,0.2772277227722772,-0.03968339242863799,0.44752202643171807
9,frozenset({'NoSubscr'}),frozenset({'3-4'}),0.7216748768472906,0.39408866995073893,0.28078817733990147,0.3890784982935154,0.9872866894197952,1.0,-0.0036157150137106076,0.9917989927621984,-0.04422021071375586,0.33628318584070793,-0.008268819889564087,0.5507892491467576
10,frozenset({'3-4'}),frozenset({'NoSubscr'}),0.39408866995073893,0.7216748768472906,0.28078817733990147,0.7124999999999999,0.9872866894197951,1.0,-0.0036157150137106076,0.9680873848789889,-0.02081005586592185,0.33628318584070793,-0.032964601769911644,0.5507892491467576
11,frozenset({'4+'}),frozenset({'Male'}),0.3768472906403941,0.687192118226601,0.2561576354679803,0.6797385620915033,0.9891536064844099,1.0,-0.002808852435147613,0.9767266512516337,-0.017292250233426405,0.3170731707317073,-0.023827903864957947,0.5262492093611638
12,frozenset({'Male'}),frozenset({'4+'}),0.687192118226601,0.3768472906403941,0.2561576354679803,0.3727598566308244,0.9891536064844099,1.0,-0.002808852435147613,0.9934834623504573,-0.033867310365005635,0.3170731707317073,-0.006559281454092055,0.5262492093611638
13,frozenset({'NoDisco'}),frozenset({'4+'}),0.5591133004926109,0.3768472906403941,0.229064039408867,0.4096916299559471,1.087155567072644,1.0,0.018363706957218062,1.055639291228586,0.18183456478644783,0.3240418118466899,0.0527067263324685,0.5087673836054245
14,frozenset({'4+'}),frozenset({'NoDisco'}),0.3768472906403941,0.5591133004926109,0.229064039408867,0.607843137254902,1.087155567072644,1.0,0.018363706957218062,1.1242610837438425,0.12864975137064885,0.3240418118466899,0.11052689232117434,0.5087673836054245
15,frozenset({'4+'}),frozenset({'NoPromo'}),0.3768472906403941,0.5591133004926109,0.229064039408867,0.607843137254902,1.087155567072644,1.0,0.018363706957218062,1.1242610837438425,0.12864975137064885,0.3240418118466899,0.11052689232117434,0.5087673836054245
16,frozenset({'NoPromo'}),frozenset({'4+'}),0.5591133004926109,0.3768472906403941,0.229064039408867,0.4096916299559471,1.087155567072644,1.0,0.018363706957218062,1.055639291228586,0.18183456478644783,0.3240418118466899,0.0527067263324685,0.5087673836054245
17,frozenset({'NoSubscr'}),frozenset({'4+'}),0.7216748768472906,0.3768472906403941,0.270935960591133,0.3754266211604096,0.9962301188962503,1.0,-0.0010252614720084874,0.9977253761877843,-0.013413762997062552,0.32738095238095244,-0.00227980952123992,0.5471904347632113
18,frozenset({'4+'}),frozenset({'NoSubscr'}),0.3768472906403941,0.7216748768472906,0.270935960591133,0.7189542483660131,0.9962301188962502,1.0,-0.0010252614720084874,0.9903196242410358,-0.006035929854637346,0.32738095238095244,-0.009775001446005956,0.5471904347632113
19,frozenset({'40-59'}),frozenset({'Male'}),0.41133004926108374,0.687192118226601,0.29310344827586204,0.7125748502994012,1.0369368789303113,1.0,0.010440680433885796,1.0883107553366174,0.06051123378221578,0.3639143730886851,0.08114479702013283,0.5695490738952202
20,frozenset({'Male'}),frozenset({'40-59'}),0.687192118226601,0.41133004926108374,0.29310344827586204,0.4265232974910394,1.0369368789303113,1.0,0.010440680433885796,1.0264932266009852,0.11387547144842183,0.3639143730886851,0.02580945096804183,0.5695490738952202
